"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode","DB","b1test","name","BBarcode"
NA,NA,10.516667,47.483333,NA,1956,"01 Sep.",NA,"GERMANY","GERMANY, Bayern (= Bavaria): Allgäuer Alpen, Tirol; above the Visalpsee Lake near Tannheim.",NA,"139149","J. Poelt","BERLIN_DB","BERLIN_DB",40,"Collema fasciculare",NA
234004264,"905daf20-04fd-11df-8c28-b8a03c50a862",9.04937,48.54851,NA,1930,"8",NA,"Germany",NA,"General","44039","A[.]ön[.]","UME","GBIF",86,"Collema fasciculare",NA
442142102,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.63,47.806667,NA,1922,"5",7,"Germany","Baden: Oberhalb Obereggenen (bei Müllheim), 400 m.","Blettaucoll","B 60 0086353 / 152255 / 92541","Lettau, G.","B","GBIF",97,"Collema fasciculare",NA
442142103,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.605834,47.711113,NA,1921,"5",1,"Germany","Baden: Tannenkirch - Holzen (bei Lörrach), 300 m.","Blettaucoll","B 60 0111688 / 147689 / 90828","Lettau, G.","B","GBIF",95,"Collema fasciculare",NA
NA,NA,7.833066,47.8225,NA,1918,"4 Aug.",NA,"GERMANY","DEUTSCHLAND, Baden-Württemberg: Schwarzwald, am Belchen.",NA,"118795","C. F. E. Erichsen in herb. V. J. Grummann","BERLIN_DB","BERLIN_DB",67,"Collema fasciculare",NA
442142104,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,NA,1912,"11",10,"Germany","Baden: Lörrach - Waidhof","Blettaucoll","B 60 0111690 / 147691 / 90829","Lettau, G.","B","GBIF",97,"Collema fasciculare",NA
NA,NA,11.966667,51.2,NA,1843,"Juni",NA,"GERMANY","(DEUTSCHLAND, Thüringen:) Weissenfels in Thüringen, an einer Schwarzpappel.",NA,"3022","Auerswald","BERLIN_DB","BERLIN_DB",87,"Collema fasciculare",NA
741254,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.713611,54.772778,"Langeland",1967,"7",14,"Denmark","Magleby","General","1087658","Gunnar Degelius","LD","GBIF",82,"Diploicia canescens",NA
NA,NA,19.9524,48.216169,NA,1965,"19.8.1965",NA,NA,"Slovakia, Ragačské kpce, Hajnáčka",NA,"M-0302898","I. Pišút","MUNICH_HTL","MUNICH_HTL",92,"Diploicia canescens",NA
NA,NA,6.760524,50.553692,NA,1964,"11. April",NA,"GERMANY","DEUTSCHLAND, Nordrhein-Westfalen: Münstereifel, Stadtmauer.",NA,"97398","H. Breuer","BERLIN_DB","BERLIN_DB",84,"Diploicia canescens","B 60 0141333"
NA,NA,6.795323,50.671785,NA,1963,"Dezember",NA,"GERMANY","DEUTSCHLAND, Nordrhein-Westfalen: Kl. Vernich, Kreis Euskirchen, Erft-Ufer, 120 m s.m.",NA,"107205","Th. Müller","BERLIN_DB","BERLIN_DB",96,"Diploicia canescens","B 60 0159140"
NA,NA,6.826539,50.735849,NA,1959,"16. Aug.",NA,"GERMANY","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Euskirchen, Vernich, Kopfweide, Erftufer. Alt. 120 m ü. M.",NA,"97396","Th. Müller","BERLIN_DB","BERLIN_DB",97,"Diploicia canescens","B 60 0141335"
2513163952,"15f819bd-6612-4447-854b-14d12ee1022d",5.690973,50.851368,"Limburg",1950,"5",25,"Netherlands","Kasteel Neercanne","Botany","L  0165895","Maas Geesteranus RA",NA,"GBIF",99,"Diploicia canescens",NA
2237906482,"84d26682-f762-11e1-a439-00145eb45e9a",12.1,54.85,NA,1943,"5",31,"Denmark","Åstrup",NA,"DMS-1040886","Mogens Skytte Christiansen",NA,"GBIF",83,"Diploicia canescens",NA
2237877209,"84d26682-f762-11e1-a439-00145eb45e9a",12.20813,54.94154,NA,1943,"6",1,"Denmark","Marienborg",NA,"DMS-1013841","Mogens Skytte Christiansen",NA,"GBIF",83,"Diploicia canescens",NA
2237877032,"84d26682-f762-11e1-a439-00145eb45e9a",11.21721,54.91115,NA,1942,"8",9,"Denmark","Horslunde",NA,"DMS-1014227","Paul Gelting",NA,"GBIF",82,"Diploicia canescens",NA
2513163992,"15f819bd-6612-4447-854b-14d12ee1022d",5.250773,51.813554,"Gelderland",1942,"12",20,"Netherlands","Gameren","Botany","L  0165824","Maas Geesteranus RA",NA,"GBIF",94,"Diploicia canescens",NA
991956539,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.896667,50.826383,NA,1939,"2",5,"Germany","Brühl b. Köln","Herbarium Senckenbergianum (FR) - Fungi","9656",NA,"FR","GBIF",99,"Diploicia canescens",NA
2513164437,"15f819bd-6612-4447-854b-14d12ee1022d",5.883333,51.883333,"Gelderland",1939,"4",30,"Netherlands",NA,"Botany","L  0165753","Soest JL van; Groot van",NA,"GBIF",95,"Diploicia canescens",NA
991956544,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.482783,50.6925,NA,1938,"6",19,"Germany","Eifel, Nideggen","Herbarium Senckenbergianum (FR) - Fungi","9653",NA,"FR","GBIF",89,"Diploicia canescens",NA
991956552,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.99305,50.517217,NA,1938,"6",5,"Germany","Eifel, Altenahr","Herbarium Senckenbergianum (FR) - Fungi","9669",NA,"FR","GBIF",88,"Diploicia canescens",NA
991956543,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.859717,50.931667,NA,1937,"4",29,"Germany","Elbhügelland, Weesenstein, Müglitztal auf dem Rabenhorstfelsen bei der Bastion","Herbarium Senckenbergianum (FR) - Fungi","9654",NA,"FR","GBIF",81,"Diploicia canescens",NA
991956549,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.033617,50.957783,NA,1937,"6",7,"Germany","Elbsandsteingebirge, Wehlen, auf der Burg","Herbarium Senckenbergianum (FR) - Fungi","9652",NA,"FR","GBIF",80,"Diploicia canescens",NA
991956557,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.85,49.8075,NA,1937,"7",10,"Germany","Bad Kreuznach, Rheingrafenstein bei Münster am Stein","Herbarium Senckenbergianum (FR) - Fungi","9668",NA,"FR","GBIF",89,"Diploicia canescens",NA
NA,NA,14.353428,50.108155,NA,1934,"1934",NA,NA,"Czech Republic, Bohemia, Prague, near Jenerálka, in the Šárka valley",NA,"M-0302899","J. Suza","MUNICH_HTL","MUNICH_HTL",84,"Diploicia canescens",NA
991956545,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.163617,50.58945,NA,1933,"9",7,"Germany","Vogtland, Plauen, am Elsteruferweg Rentzschmühle - Elsterberg","Herbarium Senckenbergianum (FR) - Fungi","9658",NA,"FR","GBIF",77,"Diploicia canescens",NA
991956553,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.921383,50.939167,NA,1932,"9",17,"Germany","Pirna: im Seidewitztal","Herbarium Senckenbergianum (FR) - Fungi","9657",NA,"FR","GBIF",84,"Diploicia canescens",NA
NA,NA,14.790919,50.61258,NA,1932,"1932",NA,NA,"Czech Republic, Mimoń, Ralsko",NA,"M-0302900","J. Suza","MUNICH_HTL","MUNICH_HTL",78,"Diploicia canescens",NA
2513164194,"15f819bd-6612-4447-854b-14d12ee1022d",5.12,52.09,"Utrecht",1930,"3",26,"Netherlands","Kromme Rijn","Botany","L  0165817","Ooststroom SJ van",NA,"GBIF",93,"Diploicia canescens",NA
991956542,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.964167,51.22695,NA,1922,NA,NA,"Germany","Bilstein im Höllental, beim Meißner","Herbarium Senckenbergianum (FR) - Fungi","9664",NA,"FR","GBIF",83,"Diploicia canescens",NA
991956578,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.704167,53.606667,NA,1890,NA,NA,"Germany","Borkum","Herbarium Senckenbergianum (FR) - Fungi","24155",NA,"FR","GBIF",87,"Diploicia canescens",NA
NA,NA,10.276951,48.455989,NA,1969,"15.8.1969",NA,NA,"Germany, Bavaria, Lkr. Günzburg, SE of Limbach",NA,"M-0034284","H. & H. Doppelbaur","MUNICH_HTL","MUNICH_HTL",83,"Fellhanera bouteillei",NA
NA,NA,11.17186,49.46476,NA,1960,"13.2.1960",NA,NA,"Germany, Bavaria, Oberfranken, between Sachsenmühle and Gailenreuth",NA,"M-0034283","J. Poelt","MUNICH_HTL","MUNICH_HTL",87,"Fellhanera bouteillei",NA
NA,NA,6.798316,50.076884,NA,1954,"",NA,"GERMANY","DEUTSCHLAND, Rheinland-Pfalz: Horngraben bei Manderscheid.",NA,"97419","Th. Müller","BERLIN_DB","BERLIN_DB",84,"Fellhanera bouteillei","B 60 0141266"
NA,NA,14.183188,49.933728,NA,1933,"1933",NA,NA,"Czech Republic, Bohemia, Budńany at Berounka river, near Karlštejn",NA,"M-0034250","J. Suza","MUNICH_HTL","MUNICH_HTL",83,"Fellhanera bouteillei",NA
442142284,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.773611,47.72361,NA,1914,"4",13,"Germany","1) Baden: Sallneck (Schopfheim)","Blettaucoll","B 60 0028460 / 145788 / 90081","Lettau, G.","B","GBIF",79,"Fellhanera bouteillei",NA
NA,NA,11.583333,48.15,NA,1897,"5.1897",NA,NA,"Germany, Bavaria, Munich",NA,"M-0034286","Arnold","MUNICH_HTL","MUNICH_HTL",80,"Fellhanera bouteillei",NA
NA,NA,9.931172,47.662616,NA,1886,"7.1886",NA,NA,"Germany, Bavaria, Allgäu, Eglofs",NA,"M-0034280","","MUNICH_HTL","MUNICH_HTL",75,"Fellhanera bouteillei",NA
1503046247,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",10.5,51.5,NA,1869,"6",3,"Germany",NA,"Botany","C0059153F","F. W. Sauerbeck","F","GBIF",78,"Fellhanera bouteillei",NA
788556762,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.560556,48.725556,"Baden-Württemberg",1969,"5",5,"Germany","Nassachmühle","General","1313944","Felix Schumm","LD","GBIF",89,"Flavoparmelia caperata",NA
1212105036,"85739778-f762-11e1-a439-00145eb45e9a",7.45,47.9333,NA,1967,NA,NA,"France","FRANCE, Dep. Haut-Rhin: Alsace, Rüstenhart near Colmar.","Lichen Herbarium Berlin","178840","H. Reznik","B","GBIF",101,"Flavoparmelia caperata",NA
NA,NA,9.05,48.533333,NA,1964,"15.11.1964",NA,"Deutschland","Tübingen",NA,NA,"W.U. Berthold","BERLIN_HTL","BERLIN_HTL",89,"Flavoparmelia caperata",NA
788546836,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.595556,49.647222,"Luxembourg",1963,"4",18,"Belgium","Buzenol","General","1303969","G. Thiry","LD","GBIF",87,"Flavoparmelia caperata",NA
NA,NA,9.196558,47.705563,NA,1963,"08. April",NA,"GERMANY","DEUTSCHLAND, Baden-Württemberg: Bodensee, Insel Mainau.",NA,"97422","H. Breuer","BERLIN_DB","BERLIN_DB",95,"Flavoparmelia caperata","B 60 0146372"
NA,NA,6.954622,50.598215,NA,1963,"29. Juli",NA,"GERMANY","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach, Rheinbacher Stadtwald.",NA,"97425","H. Breuer","BERLIN_DB","BERLIN_DB",89,"Flavoparmelia caperata","B 60 0146371"
NA,NA,6.950146,50.626653,NA,1962,"",NA,"GERMANY","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach.",NA,"97424","H. Breuer","BERLIN_DB","BERLIN_DB",95,"Flavoparmelia caperata","B 60 0146361"
788557061,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.900278,45.997778,"Ticino",1961,"7",11,"Switzerland","Agno","General","1314244","C. M. Norrman","LD","GBIF",110,"Flavoparmelia caperata",NA
NA,NA,8.962099,49.50375,NA,1961,"May",NA,"GERMANY","GERMANY, Baden-Württemberg: Nordbaden, Odenwald. Gammelsbachtal near Eberbach.",NA,"179220","H. Reznik","BERLIN_DB","BERLIN_DB",89,"Flavoparmelia caperata","B 60 0190782"
NA,NA,8.857772,49.419536,NA,1961,"easter",NA,"GERMANY","GERMANY, Hessen: Odenwald, Darsberg near Klein-Gemünd. Wald am Vogelherd.",NA,"179219","H. Reznik","BERLIN_DB","BERLIN_DB",89,"Flavoparmelia caperata","B 60 0190641"
2449356639,"85739778-f762-11e1-a439-00145eb45e9a",15.5167,48.3833,NA,1960,"8",4,"Austria","AUSTRIA, Niederösterreich: Dürnstein in der Wachau, below the castle.","Lichen Herbarium Berlin","179222","H. Reznik","B","GBIF",86,"Flavoparmelia caperata",NA
NA,NA,6.418315,49.855505,NA,1960,"30. Mai",NA,"GERMANY","DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Ferschweiler, Güntherhof.",NA,"97423","H. Breuer","BERLIN_DB","BERLIN_DB",87,"Flavoparmelia caperata","B 60 0146363"
1212104889,"85739778-f762-11e1-a439-00145eb45e9a",8.8333,49.3667,NA,1959,"6",14,"Germany","GERMANY, Baden-Württemberg: Nordbaden, Langenzell im Kraichgau. Alt. 195 m.","Lichen Herbarium Berlin","178691","H. Reznik","B","GBIF",100,"Flavoparmelia caperata",NA
2449363321,"85739778-f762-11e1-a439-00145eb45e9a",13,46.6667,NA,1959,"7",14,"Austria","ÖSTERREICH, Kärnten: Gailtaler Alpen, Gailtal, Mauthen.","Lichen Herbarium Berlin","116125","V. J. Grummann","B","GBIF",55,"Flavoparmelia caperata",NA
788604301,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",21.0812,52.30913,"Mazowieckie",1959,"8",22,"Poland","No locality information available","General","1363024","J. Zielinska","LD","GBIF",79,"Flavoparmelia caperata",NA
NA,NA,8.184886,48.653598,NA,1959,"April",NA,"GERMANY","GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn oberhalb Neusatzeck. Alt. 700 m.",NA,"178778","H. Reznik","BERLIN_DB","BERLIN_DB",78,"Flavoparmelia caperata","B 60 0174602"
2449363720,"85739778-f762-11e1-a439-00145eb45e9a",8.7167,49.4833,NA,1958,"10",26,"Germany","GERMANY, Baden-Württemberg: Nordbaden. Above Ursenbach in Odenwald, near Ludwigstal valley.","Lichen Herbarium Berlin","179216","H. Reznik","B","GBIF",90,"Flavoparmelia caperata",NA
2449357608,"85739778-f762-11e1-a439-00145eb45e9a",8.1833,48.65,NA,1958,"12",28,"Germany","GERMANY, Baden-Württemberg: Nordschwarzwald, Immenstein above Neusatzeck.","Lichen Herbarium Berlin","179221","H. Reznik","B","GBIF",78,"Flavoparmelia caperata",NA
911958030,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.60805,48.336117,NA,1958,"12",21,"Germany","Mödishofen, am W-Rand des Filzes vor Dinkelscherben","Herbarium Senckenbergianum (FR) - Fungi","3934",NA,"FR","GBIF",83,"Flavoparmelia caperata",NA
NA,NA,8.694327,49.42497,NA,1958,"April",NA,"GERMANY","GERMANY, Baden-Württemberg: Nordbaden, Heidelberg-Handschuhsheim, oberes Hellembachtal.",NA,"178683","H. Reznik","BERLIN_DB","BERLIN_DB",97,"Flavoparmelia caperata","B 60 0174501"
NA,NA,8.74285,49.408476,NA,1958,"25. Mai",NA,"GERMANY","GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Granitfelsen am Wilckens-Felsen, Haarlaß-Heidelberg, schattiger Standort.",NA,"178724","H. Reznik","BERLIN_DB","BERLIN_DB",89,"Flavoparmelia caperata","B 60 0174601"
911958085,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.926117,48.335283,NA,1957,"1",2,"Germany","Augsburg, im Siebentischwald, an der Ilsungstraße","Herbarium Senckenbergianum (FR) - Fungi","3938",NA,"FR","GBIF",84,"Flavoparmelia caperata",NA
911958047,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.252217,46.453617,NA,1957,"4",14,"Italy","Südtirol, Eppan b. Bozen, s-Hang bei der Gleifkapelle","Herbarium Senckenbergianum (FR) - Fungi","3936",NA,"FR","GBIF",107,"Flavoparmelia caperata",NA
788546731,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.66257,49.07815,"Jihomoravsky kraj",1955,"2",13,"Czechia","No locality information available","General","1303864","A. Vezda","LD","GBIF",91,"Flavoparmelia caperata",NA
NA,NA,7.355672,50.336538,NA,1954,"01. Juli",NA,"GERMANY","DEUTSCHLAND, Rheinland-Pfalz: Kr. Mayen, Welling, Schutzgebiet Horley, sonnige Schieferfelsen, SO, Unterdevon, häufig, Nettetal, SO-Eifel.",NA,"97421","Th. Müller","BERLIN_DB","BERLIN_DB",94,"Flavoparmelia caperata","B 60 0146386"
911958087,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.978617,47.038617,NA,1953,"4",19,"Austria","Ötztal, Matrei, bei Huben","Herbarium Senckenbergianum (FR) - Fungi","3941",NA,"FR","GBIF",29,"Flavoparmelia caperata",NA
NA,NA,7.178115,49.847362,NA,1953,"18. April",NA,"GERMANY","DEUTSCHLAND, Rheinland-Pfalz: Hintzerath bei Morbach, an Linde.",NA,"97427","Th. Müller","BERLIN_DB","BERLIN_DB",73,"Flavoparmelia caperata","B 60 0146358"
NA,NA,8.83544,49.398343,NA,1952,"Mar.",NA,"GERMANY","GERMANY, Baden-Württemberg: Odenwald. Herrenwald near Dilsberg.",NA,"179217","H. Reznik","BERLIN_DB","BERLIN_DB",98,"Flavoparmelia caperata","B 60 0190609"
2449355263,"85739778-f762-11e1-a439-00145eb45e9a",10.3667,47.5,NA,1951,"8",1,"Germany","DEUTSCHLAND, Bayern: Allgäuer Alpen, Osterachtal.","Lichen Herbarium Berlin","115545","V. J. Grummann","B","GBIF",49,"Flavoparmelia caperata",NA
788556822,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.528333,46.977778,"Bern",1949,"5",19,"Switzerland","Bantiger","General","1314004","Ove Almborn","LD","GBIF",78,"Flavoparmelia caperata",NA
788557419,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.491944,47.349444,"Zürich",1949,"5",19,"Switzerland","Uetliberg","General","1314604","Ove Almborn","LD","GBIF",84,"Flavoparmelia caperata",NA
788543565,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.465556,46.538611,"Trentino-Alto Adige",1948,"5",NA,"Italy","Klobenstein","General","1300687","H. Runemark","LD","GBIF",91,"Flavoparmelia caperata",NA
788543744,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.360833,46.422778,"Veneto",1948,"5",NA,"Italy","Pieve di Cadore","General","1300867","H. Runemark","LD","GBIF",62,"Flavoparmelia caperata",NA
788558437,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.741111,48.402778,"Bayern",1948,"8",NA,"Germany","Freising","General","1315669","Johannes Ullrich","LD","GBIF",79,"Flavoparmelia caperata",NA
NA,NA,8.769435,50.565768,NA,1948,"28. Nov.",NA,"GERMANY","DEUTSCHLAND, HESSEN. Krs. Erbach-Odenwald. Steinbach, Waldrand. Alt. 300 m.",NA,"22807","O. Behr","BERLIN_DB","BERLIN_DB",88,"Flavoparmelia caperata","B 60 0029614"
788558497,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.340556,48.791667,"Baden-Württemberg",1947,"4",4,"Germany","Stetten im Remstal","General","1315729","E. Putzler","LD","GBIF",94,"Flavoparmelia caperata",NA
911958123,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.437217,48.181383,NA,1944,"3",3,"France","Vogesen, Epinal, an der Kaserne über dem Bahnhof","Herbarium Senckenbergianum (FR) - Fungi","19303",NA,"FR","GBIF",91,"Flavoparmelia caperata",NA
2237905713,"84d26682-f762-11e1-a439-00145eb45e9a",11.63333,54.83333,NA,1942,"8",4,"Denmark","Oreby",NA,"DMS-1038270","Paul Gelting",NA,"GBIF",82,"Flavoparmelia caperata",NA
442142884,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.203333,47.86972,NA,1942,"8",27,"Germany","Schwarzwald: 1) Oberhalb Lenzkirch, 850 m.","Blettaucoll","B 60 0029621 / 145822 / 90094","Lettau, G.","B","GBIF",63,"Flavoparmelia caperata",NA
442143287,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.367778,48.078335,NA,1941,"9",5,"Germany","Baden, Schwarzwald: 2) Unterkirnach bei Villingen, 900 m.","Blettaucoll","B 60 0029635 / 145826 / 90096","Lettau, G.","B","GBIF",68,"Flavoparmelia caperata",NA
776852,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.4975,54.860278,"Jylland",1939,"8",17,"Denmark","Sønderhav","General","1022274","Ove Almborn","LD","GBIF",80,"Flavoparmelia caperata",NA
152925677,"89579e3e-f762-11e1-a439-00145eb45e9a",14.578589,46.199674,NA,1937,"4",15,"Slovenia",NA,"FloVegSI-FLO","F774600","Dolšak F.","ULBF-AGR","GBIF",96,"Flavoparmelia caperata",NA
911958051,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.85,49.8075,NA,1937,"7",10,"Germany","Bad Kreuznach, Rheingrafenstein bei Münster am Stein","Herbarium Senckenbergianum (FR) - Fungi","3939",NA,"FR","GBIF",89,"Flavoparmelia caperata",NA
911958057,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.697633,49.9,NA,1937,"7",8,"Germany","Darmstadt, am Jagdschloß Kranichstein","Herbarium Senckenbergianum (FR) - Fungi","3932",NA,"FR","GBIF",96,"Flavoparmelia caperata",NA
911958059,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.602783,47.601667,NA,1937,"9",24,"Germany","Kressbronn am Bodensee","Herbarium Senckenbergianum (FR) - Fungi","3948",NA,"FR","GBIF",89,"Flavoparmelia caperata",NA
911958039,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.94445,51.254167,NA,1936,"2",26,"Germany","Oberlausitz, Königsbrück, im Tiefen Grund nahe Reichenau","Herbarium Senckenbergianum (FR) - Fungi","3946",NA,"FR","GBIF",86,"Flavoparmelia caperata",NA
911958058,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.13945,51.292217,NA,1936,"3",27,"Germany","Kamenz, am N-Ufer des Deutschbaselitzer Teiches","Herbarium Senckenbergianum (FR) - Fungi","3945",NA,"FR","GBIF",88,"Flavoparmelia caperata",NA
911958074,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.185283,47.701667,NA,1936,"6",13,"Germany","Konstanz, am Wege nach der Insel Mainau, am Strand","Herbarium Senckenbergianum (FR) - Fungi","3935",NA,"FR","GBIF",95,"Flavoparmelia caperata",NA
